id,所属コード,グループ名,表示順,DN,有効期限（開始）,有効期限（終了）
,A000000,札幌児童館/経営企画室,10,,,
,B000000,札幌児童館/総務部,20,,,
,B100000,札幌児童館/総務部/総務課,30,,,
,C000000,札幌児童館/人事部,40,,,
,C100000,札幌児童館/人事部/人事企画課,50,,,
,D000000,札幌児童館/デジタル戦略推進室,60,,,
,E000000,札幌児童館/企画事業部,70,,,
,E100000,札幌児童館/企画事業部/企画事業課,80,,,
,E100010,札幌児童館/企画事業部/企画事業課/滝野自然学園,90,,,
,E100020,札幌児童館/企画事業部/企画事業課/北方自然教育園,100,,,
,F000000,札幌児童館/野外施設部,110,,,
,F100000,札幌児童館/野外施設部/野外活動課,120,,,
,F100010,札幌児童館/野外施設部/野外活動課/青少年山の家,130,,,
,F100020,札幌児童館/野外施設部/野外活動課/定山渓自然の村,140,,,
,G000000,札幌児童館/こども若者事業部,150,,,
,G100000,札幌児童館/こども若者事業部/こども劇場課,160,,,
,G100010,札幌児童館/こども若者事業部/こども劇場課/やまびこ座,170,,,
,G100020,札幌児童館/こども若者事業部/こども劇場課/こぐま座,180,,,
,G200000,札幌児童館/こども若者事業部/若者支援事業課,190,,,
,G200010,札幌児童館/こども若者事業部/若者支援事業課/若者支援総合センター,200,,,
,G200020,札幌児童館/こども若者事業部/若者支援事業課/宮の沢若者活動センター,210,,,
,G200030,札幌児童館/こども若者事業部/若者支援事業課/豊平若者活動センター,220,,,
,G200040,札幌児童館/こども若者事業部/若者支援事業課/アカシア若者活動センター,230,,,
,G200050,札幌児童館/こども若者事業部/若者支援事業課/ポプラ若者活動センター,240,,,
,G300000,札幌児童館/こども若者事業部/こども事業課,250,,,
,G400000,札幌児童館/こども若者事業部/こども育成課,260,,,
,G400010,札幌児童館/こども若者事業部/こども育成課/事務局,270,,,
,G400011,札幌児童館/こども若者事業部/こども育成課/事務局/事務局,280,,,
,G410000,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲,290,,,
,G411000,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/中央Ⅰ,300,,,
,G411010,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/中央Ⅰ/円山児童会館,310,,,
,G411020,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/中央Ⅰ/宮の森児童会館,320,,,
